State,District,Type
 Uttar Pradesh ,Chandauli,Aspirational 
 Uttar Pradesh ,Chitrakoot,Aspirational 
 Uttar Pradesh ,Deoria,Non Aspirational
 Uttar Pradesh ,Etah,Non Aspirational
 Uttar Pradesh ,Etawah,Non Aspirational
 Uttar Pradesh ,Farrukhabad,Non Aspirational
 Uttar Pradesh ,Fatehpur,Aspirational 
 Uttar Pradesh ,Firozabad,Non Aspirational
 Uttar Pradesh ,Gautam Buddha Nagar,Non Aspirational
 Uttar Pradesh ,Ghaziabad,Non Aspirational
 Uttar Pradesh ,Ghazipur,Non Aspirational
 Uttar Pradesh ,Gonda,Non Aspirational
 Uttar Pradesh ,Gorakhpur,Non Aspirational
 Uttar Pradesh ,Hamirpur,Non Aspirational
 Uttar Pradesh ,Hapur,Non Aspirational
 Uttar Pradesh ,Hardoi,Non Aspirational
 Uttar Pradesh ,Hathras,Non Aspirational
 Uttar Pradesh ,Jalaun,Non Aspirational
 Uttar Pradesh ,Jaunpur,Non Aspirational
 Uttar Pradesh ,Jhansi,Non Aspirational
 Uttar Pradesh ,Kannauj,Non Aspirational
 Uttar Pradesh ,Kanpur Dehat,Non Aspirational
 Uttar Pradesh ,Kanpur Nagar,Non Aspirational
 Uttar Pradesh ,Kasganj,Non Aspirational
 Uttar Pradesh ,Kaushambi,Non Aspirational
 Uttar Pradesh ,Kushinagar,Non Aspirational
 Uttar Pradesh ,Lakhimpur Kheri,Non Aspirational
 Uttar Pradesh ,Lalitpur,Non Aspirational
 Uttar Pradesh ,Lucknow,Non Aspirational
 Uttar Pradesh ,Maharajganj,Non Aspirational
 Uttar Pradesh ,Mahoba,Non Aspirational
 Uttar Pradesh ,Mainpuri,Non Aspirational
 Uttar Pradesh ,Mathura,Non Aspirational
 Uttar Pradesh ,Mau,Non Aspirational
 Uttar Pradesh ,Meerut,Non Aspirational
 Uttar Pradesh ,Mirzapur,Non Aspirational
 Uttar Pradesh ,Moradabad,Non Aspirational
 Uttar Pradesh ,Muzaffarnagar,Non Aspirational
 Uttar Pradesh ,Pilibhit,Non Aspirational
 Uttar Pradesh ,Pratapgarh,Non Aspirational
 Uttar Pradesh ,Prayagraj,Non Aspirational
 Uttar Pradesh ,Rae Bareli,Non Aspirational
 Uttar Pradesh ,Rampur,Non Aspirational
 Uttar Pradesh ,Saharanpur,Non Aspirational
 Uttar Pradesh ,Sambhal,Non Aspirational
 Uttar Pradesh ,Sant Kabir Nagar,Non Aspirational
 Uttar Pradesh ,Shahjahanpur,Non Aspirational
 Uttar Pradesh ,Shamli,Non Aspirational
 Uttar Pradesh ,Shravasti,Aspirational 
 Uttar Pradesh ,Siddharthnagar,Aspirational 
 Uttar Pradesh ,Sitapur,Non Aspirational
 Uttar Pradesh ,Sonbhadra,Aspirational 
 Uttar Pradesh ,Sultanpur,Non Aspirational
 Uttar Pradesh ,Unnao,Non Aspirational
 Uttar Pradesh ,Varanasi Wikipedia,Non Aspirational
 Uttarakhand ,Almora,Non Aspirational
 Uttarakhand ,Bageshwar,Non Aspirational
 Uttarakhand ,Chamoli,Non Aspirational
 Uttarakhand ,Champawat,Non Aspirational
 Uttarakhand ,Dehradun,Non Aspirational
 Uttarakhand ,Haridwar,Aspirational 
 Uttarakhand ,Nainital,Non Aspirational
 Uttarakhand ,Pauri Garhwal,Non Aspirational
 Uttarakhand ,Pithoragarh,Non Aspirational
 Uttarakhand ,Rudraprayag,Non Aspirational
 Uttarakhand ,Tehri Garhwal,Non Aspirational
 Uttarakhand ,Udham Singh Nagar,Aspirational 
 Uttarakhand ,Uttarkashi,Non Aspirational
 West Bengal ,Alipurduar,Non Aspirational
 West Bengal ,Bankura,Non Aspirational
 West Bengal ,Birbhum,Non Aspirational
 West Bengal ,Cooch Behar,Non Aspirational
 West Bengal ,Dakshin Dinajpur,Non Aspirational
 West Bengal ,Darjeeling,Non Aspirational
 West Bengal ,Hooghly,Non Aspirational
 West Bengal ,Howrah,Non Aspirational
 West Bengal ,Jalpaiguri,Non Aspirational
 West Bengal ,Jhargram,Non Aspirational
 West Bengal ,Kalimpong,Non Aspirational
 West Bengal ,Kolkata,Non Aspirational
 West Bengal ,Malda,Non Aspirational
 West Bengal ,Murshidabad,Non Aspirational
 West Bengal ,Nadia,Non Aspirational
 West Bengal ,North 24 Parganas,Non Aspirational
 West Bengal ,Paschim Bardhaman,Non Aspirational
 West Bengal ,Paschim Medinipur,Non Aspirational
 West Bengal ,Purba Bardhaman,Non Aspirational
 West Bengal ,Purba Medinipur,Non Aspirational
 West Bengal ,Purulia,Non Aspirational
 West Bengal ,South 24 Parganas,Non Aspirational
 West Bengal ,Uttar Dinajpur,Non Aspirational
 Andaman and Nicobar Islands ,Nicobar,Non Aspirational
 Andaman and Nicobar Islands ,North and Middle Andaman,Non Aspirational
 Andaman and Nicobar Islands ,South Andaman,Non Aspirational
 Chandigarh ,Chandigarh,Non Aspirational
 Dadra and Nagar Haveli and Daman and Diu ,Dadra and Nagar Haveli,Non Aspirational
 Dadra and Nagar Haveli and Daman and Diu ,Daman,Non Aspirational
 Dadra and Nagar Haveli and Daman and Diu ,Diu,Non Aspirational
 Delhi ,Central Delhi,Non Aspirational
 Delhi ,East Delhi,Non Aspirational
 Delhi ,New Delhi,Non Aspirational
 Delhi ,North Delhi,Non Aspirational
 Delhi ,North East Delhi,Non Aspirational
 Delhi ,North West Delhi,Non Aspirational
 Delhi ,Shahdara,Non Aspirational
 Delhi ,South Delhi,Non Aspirational
 Delhi ,South East Delhi,Non Aspirational
 Delhi ,South West Delhi,Non Aspirational
 Delhi ,West Delhi,Non Aspirational
 Jammu and Kashmir ,Anantnag,Non Aspirational
 Jammu and Kashmir ,Bandipora,Non Aspirational
 Jammu and Kashmir ,Baramulla,Aspirational 
 Jammu and Kashmir ,Budgam,Non Aspirational
 Jammu and Kashmir ,Doda,Non Aspirational
 Jammu and Kashmir ,Ganderbal,Non Aspirational
 Jammu and Kashmir ,Jammu,Non Aspirational
 Jammu and Kashmir ,Kathua,Non Aspirational
 Jammu and Kashmir ,Kishtwar,Non Aspirational
 Jammu and Kashmir ,Kulgam,Non Aspirational
 Jammu and Kashmir ,Kupwara,Aspirational 
 Jammu and Kashmir ,Poonch,Non Aspirational
 Jammu and Kashmir ,Pulwama,Non Aspirational
 Jammu and Kashmir ,Rajouri,Non Aspirational
 Jammu and Kashmir ,Ramban,Non Aspirational
 Jammu and Kashmir ,Reasi,Non Aspirational
 Jammu and Kashmir ,Samba,Non Aspirational
 Jammu and Kashmir ,Shopian,Non Aspirational
 Jammu and Kashmir ,Srinagar,Non Aspirational
 Jammu and Kashmir ,Udhampur,Non Aspirational
 Ladakh ,Kargil,Non Aspirational
 Ladakh ,Leh,Non Aspirational
 Lakshadweep ,Lakshadweep,Non Aspirational
 Puducherry ,Karaikal,Non Aspirational
 Puducherry ,Mahe,Non Aspirational
 Puducherry ,Puducherry,Non Aspirational
 Puducherry ,Yanam,Non Aspirational
